CharacterName,Lines,Words
Grand,101,1647
Lunettes,89,1799
Costaud,111,1373
Cuisinier,1,26
Grognon,175,2748
Paresseux,78,849
Coquet,61,499
Paysan,79,960
Charlotte,145,1730
Les schtroumpfs,1,30
Les quatre schtroumpfs,1,12
"On est devant la maison champignon de Charlotte, voisine de celle du schtroumpf grognon. Charlotte sort de chez elle pour se rendre à la place du village. Le schtroumpf grognon sort au même moment. En la voyant",1,0
"Les trois schtroumpfs ensemble, en chantant",1,0
Schtroumpf à lunette,1,10
Après un temps,1,0
"Charlotte est bouche bée, elle ne sait pas quoi dire. Après un temps",1,0
Le schtroumpf paresseux reste là à fixer le schtroumpf grognon. Ce dernier ne sait pas quoi faire donc il se contente de reprendre l’écriture de sa chanson comme s’il n’était pas là. Après un temps,1,0
Costaud et Coquet,1,1
"Les deux schtroumpfs, en chantant",1,0
