SceneName,Lines,Didascalies,Words,Characters
I - Au château:1 - Les trois chevaliers,30,5,405,CHEVALIER NATHAN:CHEVALIER FRANÇOIS:CHEVALIER MARC
I - Au château:2 - La plus belle fleur,46,7,518,PRINCE PETIT:ROI MALADE:REINE AUTORITAIRE
I - Au château:3 - Le futur roi,17,1,204,ROI MALADE:REINE AUTORITAIRE
I - Au château:4 - La déclaration de guerre,17,5,222,CONSEILLER PRUDENT:ROI MALADE:REINE AUTORITAIRE
I - Au château:5 - La lettre,8,4,208,CONSEILLER PRUDENT:ROI MALADE
I - Au château:6 - Le conseil de guerre,21,2,394,REINE AUTORITAIRE:CONSEILLER PRUDENT:CHEVALIER NATHAN:CHEVALIER MARC:CHEVALIER FRANÇOIS
I - Au château:7 - L'inquiétude,23,4,222,CHEVALIER NATHAN:REINE AUTORITAIRE
I - Au château:8 - Le rêve,18,10,447,ROI MALADE:REINE AUTORITAIRE:LA VOIX
I - Au château:9 - La promesse,1,4,197,PRINCE PETIT
II - Dans les jardins:1 - Devant le marchand,47,9,616,CHEVALIER MARC:CHEVALIER FRANÇOIS:PRINCE PETIT
II - Dans les jardins:2 - Les jardins,9,9,271,PRINCE PETIT:FILLE JEUNE:RENART
II - Dans les jardins:3 - Le voyageur,30,10,482,VOYAGEUR INCONNU:RENART
II - Dans les jardins:4 - Renart,63,15,706,RENART:PRINCE PETIT
II - Dans les jardins:5 - La fille des jardins,42,9,472,FILLE JEUNE:PRINCE PETIT
II - Dans les jardins:6 - Les Thales,27,4,400,GENERAL CHAINE:SOLDAT LOYAL
II - Dans les jardins:7 -  La capture,14,6,240,PRINCE PETIT:SOLDAT LOYAL:GENERAL CHAINE
II - Dans les jardins:8 - Les prisonniers,25,8,796,PRINCE PETIT:FILLE JEUNE:VOYAGEUR INCONNU
II - Dans les jardins:9 - Le plan,20,5,428,PRINCE PETIT:VOYAGEUR INCONNU:FILLE JEUNE:SOLDAT LOYAL:GENERAL CHAINE
II - Dans les jardins:10 - Rêver,19,4,440,PRINCE PETIT:FILLE JEUNE
II - Dans les jardins:11 - Le mouton,23,4,587,PRINCE PETIT:SOLDAT LOYAL
II - Dans les jardins:12 - Le retour de Renart,14,3,300,RENART:SOLDAT LOYAL:PRINCE PETIT
II - Dans les jardins:13 - L'évasion,16,6,182,SOLDAT LOYAL:RENART:PRINCE PETIT:FILLE JEUNE
II - Dans les jardins:14 - Le prénom,24,5,370,PRINCE PETIT:FILLE JEUNE:RENART
III - La fin:1 - L'annonce,24,4,309,CHEVALIER NATHAN:PRINCE PETIT:REINE AUTORITAIRE
III - La fin:2 - Les défauts,36,3,513,PRINCE PETIT:ROI MALADE
III - La fin:3 - Le prisonnier,41,5,615,CHEVALIER NATHAN:GENERAL CHAINE:CHEVALIER FRANCOIS:CHEVALIER MARC:REINE AUTORITAIRE
III - La fin:4 - Les variétés de rose,32,8,340,PRINCE PETIT:RENART
III - La fin:5 - La mort du roi,3,3,152,PRINCE PETIT
