SceneName,Lines,Didascalies,Words,Characters
I:1,79,17,1119,PERSONNE RÉVEILLÉE:ANGE:PERSONNE BLASÉE:PERSONNE ֤BLASÉE
I:2,58,13,691,ANGÈLE:THIBAULT:MATHILDE:MAXIME:INSPECTEUR
I:3,39,8,439,MAXIME:CAMILLE:MATHILDE:THIBAULT
I:4,35,2,588,THIBAULT:MAXIME
I:5,50,4,560,GABRIEL:MAXIME:THIBAULT
I:6,23,10,439,ANGÈLE:MAXIME:INSPECTEUR:GABRIEL:THIBAULT:ANGE
I:7,35,2,432,ANGE:GABRIEL
II:1,31,6,385,MATHILDE:CAMILLE
II:2,38,4,667,GABRIEL:CAMILLE:MATHILDE:ANGÈLE:THIBAULT:ANGE:MAXIME
II:3,22,4,284,INSPECTEUR:CAMILLE:GABRIEL:ANGÈLE:MAXIME:MATHILDE:ANGE
II:4,34,5,462,GABRIEL:ANGÈLE:THIBAULT:MAXIME:CAMILLE:ANGE
II:5,25,1,273,ANGE:GABRIEL
II:6,25,8,276,CAMILLE:GABRIEL:ANGE
II:7,34,2,382,GABRIEL:CAMILLE:ANGE
II:8,13,6,160,MAXIME:GABRIEL:CAMILLE:ANGÈLE:THIBAULT
II:9,46,13,646,LOUIS:CAMILLE:THIBAULT:GABRIEL:ANGE:MAXIME:ANGÈLE
II:10,15,6,157,ANGE:GABRIEL:ANGÈLE:MAXIME:CAMILLE:THIBAULT
II:11,20,8,273,THIBAULT:ANGÈLE:GABRIEL:MATHILDE:CAMILLE:MAXIME
II:12,22,5,225,ANGE:GABRIEL
